Date,Open,High,Low,Close,Volume
2015-01-02,24.69423503534699,24.70532029541843,23.79860048379208,24.23755073547364,212818400
2015-01-05,24.006990190147395,24.0867993234754,23.368518814896508,23.55473899841309,257142000
2015-01-06,23.619028729260297,23.816334163580667,23.195596863475707,23.55695533752441,263188400
2015-01-07,23.76535030250549,23.98704200939966,23.654504449058404,23.88728141784668,160423600
2015-01-08,24.21537959880761,24.862718808875904,24.097881603917656,24.805078506469727,237458000
2015-01-09,24.97800165194986,25.106583234710648,24.432640311803063,24.83168601989746,214798000
2015-01-12,24.96248496859388,24.969135448943987,24.120057527235872,24.21981811523437,198603200
2015-01-13,24.703103135568583,25.006821335803178,24.1444408650448,24.43485641479492,268367600
2015-01-14,24.173263026705097,24.49471531323738,24.053549306454705,24.34174919128418,195826400
2015-01-15,24.38607639779444,24.399377352772145,23.645627253574848,23.68109703063965,240056000
2015-01-16,23.727660381621178,23.84959148289938,23.321964198866382,23.497100830078125,314053200
2015-01-20,23.90722806464097,24.15774072566621,23.61016204884328,24.1023178100586,199599600
2015-01-21,24.15331098375584,24.621080624373143,24.00256055420087,24.286327362060547,194303600
2015-01-22,24.443720442092136,24.93365875835831,24.32400675479041,24.91814041137696,215185600
2015-01-23,24.89597581990433,25.217428072632536,24.725272282705173,25.04672622680664,185859200
2015-01-26,25.21520671810825,25.35265614411919,25.00681772616178,25.07332420349121,222460000
2015-01-27,24.922577258846545,24.935879909246182,24.171042629136025,24.1954288482666,382274800
2015-01-28,26.07759137754832,26.186221517154262,25.56326675415039,25.56326675415039,585908400
2015-01-29,25.787177336812245,26.423433096590607,25.618691178673068,26.3591423034668,337745600
2015-01-30,26.248295420011285,26.603001772030364,25.904672637239905,25.973398208618164,334982000
2015-02-02,26.17070219145008,26.41899577815114,25.73396933307641,26.29928207397461,250956400
2015-02-03,26.27046066624386,26.401257928588027,26.07315523199289,26.303714752197266,207662800
2015-02-04,26.27046806393836,26.71606888189861,26.228346097111075,26.505460739135746,280598800
2015-02-05,26.712447061096544,26.7591875492115,26.541071497520225,26.694643020629883,168984800
2015-02-06,26.71244351282826,26.76363457974789,26.363014006611284,26.469846725463867,174826400
2015-02-09,26.385275013527394,26.672384475729245,26.358566406277816,26.64567756652832,155559200
2015-02-10,26.74582586117105,27.186508442480807,26.743601417936667,27.15757369995117,248034000
2015-02-11,27.32450130228101,27.80301984182764,27.26440906617443,27.79411697387696,294247200
